TEAM,RATING,OFFENSE,DEFENSE,SPECIAL TEAMS
1. Georgia (10-0),31.6,40.4 (5),9.1 (1),0.3 (26)
2. Ohio St. (9-1),29.6,47.4 (1),18.5 (14),0.7 (2)
3. Alabama (9-1),27,42.0 (3),15.2 (10),0.2 (30)
4. Wisconsin (7-3),22.5,31.4 (49),9.2 (2),0.3 (24)
5. Michigan (9-1),21.9,35.3 (25),14.1 (5),0.6 (3)
6. Cincinnati (10-0),20,36.7 (16),16.6 (11),-0.1 (77)
7. Clemson (7-3),19.9,30.7 (57),11.2 (3),0.4 (16)
8. Texas A&M (7-3),19.8,34.2 (32),14.9 (7),0.5 (9)
9. Pittsburgh (8-2),17.7,37.9 (10),20.3 (20),0.1 (49)
10. Notre Dame (9-1),17.5,35.5 (24),18.0 (13),0.1 (54)
11. Oklahoma (9-1),17.1,42.1 (2),25.4 (60),0.4 (12)
12. Iowa St. (6-4),16,36.7 (15),20.8 (24),0.1 (38)
13. Baylor (8-2),15.7,34.6 (30),19.0 (15),0.1 (40)
14. Oregon (9-1),15.6,37.2 (13),22.1 (35),0.5 (5)
15. Penn St. (6-4),15.6,30.0 (66),14.5 (6),0.2 (28)
16. Oklahoma St. (9-1),15.2,30.3 (59),15.1 (9),0.0 (58)
17. Ole Miss (8-2),15.1,39.6 (6),24.7 (56),0.2 (27)
18. Michigan St. (9-1),14.9,35.0 (27),19.8 (18),-0.3 (102)
19. Arizona St. (7-3),14.8,35.6 (23),20.6 (21),-0.1 (86)
20. NC St. (7-3),14.8,32.1 (44),17.5 (12),0.2 (31)
21. Utah (7-3),14.8,36.2 (19),21.0 (26),-0.4 (123)
22. Florida (5-5),14.3,38.5 (8),23.9 (46),-0.4 (118)
23. Iowa (8-2),14,24.9 (93),11.4 (4),0.5 (7)
24. Tennessee (5-5),13.6,36.4 (18),23.2 (39),0.4 (20)
25. Nebraska (3-7),13.5,33.8 (36),19.8 (17),-0.5 (126)
26. N. Carolina (5-5),12.3,40.6 (4),28.3 (78),0.0 (65)
27. Auburn (6-4),12.2,32.7 (41),20.6 (22),0.1 (39)
28. Coastal Caro. (8-2),11.8,38.1 (9),26.3 (67),0.0 (68)
29. Minnesota (6-4),11.8,31.0 (53),19.3 (16),0.0 (62)
