13,RATING,OFFENSE,DEFENSE,SPECIAL TEAMS
1. Georgia (11-0),32.3,40.7 (4),9.3 (1),0.9 (31)
2. Ohio St. (10-1),32.3,47.2 (1),17.9 (14),3.0 (1)
3. Alabama (10-1),27.4,42.8 (2),16.5 (11),1.1 (25)
4. Michigan (10-1),24,35.8 (22),14.5 (7),2.6 (2)
5. Texas A&M (8-3),22.6,34.8 (28),14.5 (8),2.2 (7)
6. Wisconsin (8-3),22.5,32.2 (46),10.7 (2),0.9 (32)
7. Cincinnati (11-0),21,37.5 (12),16.1 (10),-0.5 (74)
8. Clemson (8-3),20.7,31.3 (54),12.7 (4),2.1 (9)
9. Notre Dame (10-1),18.8,35.9 (20),17.6 (13),0.4 (48)
10. Oklahoma (10-1),17.9,41.2 (3),24.9 (56),1.6 (18)
11. Pittsburgh (9-2),17.1,38.5 (8),22.2 (34),0.7 (35)
12. Penn St. (7-4),17.1,29.6 (64),13.7 (5),1.1 (27)
13. Ole Miss (9-2),16.9,39.4 (6),23.8 (47),1.2 (23)
14. Tennessee (6-5),16.6,37.5 (13),22.7 (37),1.8 (16)
15. NC St. (8-3),16.5,32.5 (41),17.0 (12),1.1 (26)
16. Oklahoma St. (10-1),16.4,29.9 (63),14.0 (6),0.5 (45)
17. Baylor (9-2),16,33.7 (33),18.4 (15),0.7 (37)
18. Iowa (9-2),14.8,24.1 (93),11.8 (3),2.4 (5)
19. Oregon (9-2),14.8,36.1 (19),22.7 (38),1.4 (22)
20. Iowa St. (6-5),14.2,35.0 (25),21.6 (29),0.8 (34)
21. Utah (8-3),14.1,36.6 (16),20.7 (19),-1.8 (122)
22. Florida (5-6),13.5,37.3 (14),23.1 (42),-0.7 (85)
23. Minnesota (7-4),12.7,31.0 (57),18.5 (16),0.2 (58)
24. Arizona St. (7-4),12.5,34.3 (31),20.9 (20),-0.9 (97)
25. Coastal Caro. (9-2),12,38.4 (9),25.7 (65),-0.7 (87)
26. App. St. (9-2),11.9,32.9 (39),22.8 (40),1.8 (15)
27. Miss. St. (7-4),11.8,35.0 (26),21.3 (27),-1.9 (123)
28. Miami (6-5),11.8,35.7 (23),24.6 (52),0.7 (40)
29. Auburn (6-5),11.6,32.3 (44),21.1 (25),0.4 (52)
30. N. Carolina (6-5),11,39.9 (5),28.9 (81),0.0 (64)
31. Louisville (6-5),11,35.9 (21),25.0 (58),0.1 (62)
32. Boise St. (7-4),10.9,30.3 (59),21.2 (26),1.9 (12)
33. Nebraska (3-8),10.9,34.3 (30),20.9 (22),-2.4 (127)
34. Michigan St. (9-2),10.9,33.7 (32),21.7 (30),-1.1 (103)
35. Kentucky (8-3),10.9,33.1 (38),22.6 (36),0.3 (55)
36. Arkansas (7-4),10.6,33.3 (35),23.1 (41),0.4 (53)
37. Kansas St. (7-4),10.5,32.4 (42),21.1 (23),-0.9 (94)
38. Houston (10-1),10.2,31.6 (50),20.9 (21),-0.5 (77)
39. Wake Forest (9-2),10,38.3 (10),29.8 (91),1.6 (19)
40. Marshall (7-4),9.8,32.2 (47),21.5 (28),-0.9 (95)
41. WKU (7-4),9.5,35.6 (24),27.9 (73),1.8 (14)
42. BYU (9-2),8.8,36.2 (18),26.5 (69),-0.9 (98)
43. Texas (4-7),8.8,34.9 (27),28.4 (77),2.2 (6)
44. Florida St. (5-6),8.4,30.8 (58),23.3 (44),0.9 (33)
45. San Diego St. (10-1),8.4,22.2 (105),15.9 (9),2.1 (11)
46. Virginia (6-5),8.2,38.8 (7),30.1 (92),-0.5 (75)
47. Oregon St. (7-4),8.1,36.8 (15),29.0 (83),0.3 (56)
48. Fresno St. (8-3),8.1,33.6 (34),25.4 (62),-0.1 (68)
49. UTSA (11-0),7.9,32.0 (49),25.2 (61),1.2 (24)
50. SMU (8-3),7.9,36.3 (17),27.4 (72),-0.9 (99)
51. UCLA (7-4),7.8,37.6 (11),29.0 (84),-0.8 (88)
52. Liberty (7-4),7.7,32.3 (45),23.6 (45),-1.0 (100)
53. UAB (7-4),7.7,29.1 (69),20.5 (17),-0.8 (92)
54. Purdue (7-4),7.3,31.0 (55),22.0 (32),-1.7 (121)
55. Louisiana (10-1),7.3,31.0 (56),23.2 (43),-0.5 (78)
56. Toledo (6-5),6.7,28.9 (71),21.1 (24),-1.2 (109)
57. Va. Tech (5-6),6.5,28.5 (73),22.7 (39),0.7 (38)
58. LSU (5-6),5.9,29.4 (66),25.0 (57),1.5 (20)
59. UCF (7-4),5.3,32.1 (48),25.6 (64),-1.3 (112)
60. Texas Tech (6-5),5.3,32.3 (43),29.5 (88),2.5 (4)
61. Wash. St. (6-5),5.1,33.2 (36),28.6 (78),0.5 (47)
62. California (4-6),4.5,29.1 (68),24.9 (55),0.2 (59)
63. Army (7-3),4.4,28.9 (70),24.3 (48),-0.3 (71)
64. Air Force (8-3),4,27.5 (78),22.4 (35),-1.1 (104)
65. Nevada (7-4),3.9,29.9 (62),26.0 (66),0.1 (63)
66. Boston Coll. (6-5),3.9,29.4 (65),26.1 (67),0.6 (43)
67. Missouri (6-5),3.7,31.3 (53),29.8 (90),2.1 (10)
68. Tulsa (5-6),3.5,26.9 (84),24.4 (49),1.0 (28)
69. Washington (4-7),3.4,25.5 (89),22.1 (33),0.0 (65)
70. Maryland (5-6),3.4,32.6 (40),28.1 (74),-1.1 (102)
71. S. Carolina (6-5),3.1,25.8 (88),24.8 (54),2.1 (8)
72. USC (4-6),3.1,34.3 (29),31.4 (99),0.1 (61)
73. TCU (5-6),2,33.1 (37),31.7 (101),0.5 (46)
74. W. Virginia (5-6),1.9,27.8 (77),25.1 (60),-0.8 (91)
75. Wyoming (6-5),1.8,24.3 (92),20.7 (18),-1.9 (125)
76. Memphis (5-6),1.3,29.2 (67),26.8 (71),-1.1 (108)
77. Illinois (4-7),1.3,22.4 (104),23.6 (46),2.5 (3)
78. ECU (7-4),1,28.4 (75),28.7 (80),1.4 (21)
79. Syracuse (5-6),0.8,27.3 (80),25.1 (59),-1.4 (117)
80. Miami-OH (6-5),0,28.1 (76),26.3 (68),-1.7 (120)
81. San Jose St. (5-6),-0.7,23.6 (97),24.8 (53),0.4 (49)
82. Rutgers (5-6),-0.9,21.5 (109),22.0 (31),-0.4 (73)
83. Colorado St. (3-8),-0.9,23.4 (99),24.5 (50),0.2 (60)
84. CMU (7-4),-2,30.0 (61),31.7 (102),-0.3 (72)
85. Ga. Tech (3-8),-2.7,28.6 (72),30.3 (94),-1.1 (105)
86. WMU (6-5),-2.8,31.5 (51),30.8 (98),-3.6 (130)
87. Indiana (2-9),-3.1,22.9 (101),25.5 (63),-0.5 (76)
88. Georgia St. (6-5),-3.2,26.9 (83),29.6 (89),-0.5 (79)
89. Tulane (2-9),-3.3,28.5 (74),30.4 (95),-1.4 (116)
90. Utah St. (8-3),-4.5,26.6 (85),32.1 (104),1.0 (30)
91. FAU (5-6),-4.5,23.8 (95),28.2 (75),-0.1 (69)
92. Troy (5-6),-4.7,21.7 (107),26.7 (70),0.3 (57)
93. Kent St. (6-5),-5.2,31.4 (52),35.5 (116),-1.1 (107)
94. Hawaii (5-7),-5.3,26.0 (86),31.9 (103),0.7 (42)
95. EMU (7-4),-6,30.2 (60),38.1 (123),1.9 (13)
96. UTEP (7-4),-6.3,22.5 (102),29.3 (85),0.4 (50)
97. MTSU (5-6),-6.7,23.8 (96),29.3 (86),-1.2 (111)
98. Stanford (3-8),-7.6,24.1 (94),32.7 (106),1.0 (29)
99. Northwestern (3-8),-7.7,19.6 (116),24.6 (51),-2.7 (128)
100. NIU (8-3),-7.8,27.3 (81),34.5 (113),-0.6 (83)
101. Colorado (4-7),-8.2,20.4 (112),29.4 (87),0.7 (39)
102. Ball St. (5-6),-8.5,24.6 (90),33.6 (109),0.5 (44)
103. N. Texas (5-6),-9.3,22.4 (103),30.5 (96),-1.3 (113)
104. Buffalo (4-7),-9.5,25.9 (87),34.2 (111),-1.2 (110)
105. S. Alabama (5-6),-9.8,20.1 (113),28.9 (82),-0.9 (96)
106. ODU (5-6),-10,18.4 (120),28.3 (76),-0.1 (66)
107. Ohio (3-8),-10.1,27.3 (79),36.0 (117),-1.4 (118)
108. Duke (3-8),-11.1,24.3 (91),34.7 (115),-0.8 (89)
109. La. Tech (3-8),-11.4,23.3 (100),34.1 (110),-0.6 (81)
110. Navy (2-8),-11.7,18.8 (119),30.2 (93),-0.2 (70)
111. Arizona (1-10),-12,20.0 (114),32.4 (105),0.4 (54)
112. USF (2-9),-12.5,23.5 (98),36.7 (119),0.7 (36)
113. UNLV (2-9),-12.9,20.7 (111),33.0 (107),-0.6 (82)
114. Ga. Southern (3-8),-14,19.6 (117),34.2 (112),0.7 (41)
115. BGSU (3-8),-14.1,17.0 (124),31.5 (100),0.4 (51)
116. Charlotte (5-6),-14.6,27.0 (82),41.0 (128),-0.6 (80)
117. So. Miss (2-9),-15.6,13.9 (128),28.6 (79),-0.8 (93)
118. Texas St. (3-8),-16.3,21.3 (110),37.5 (121),-0.1 (67)
119. Temple (3-8),-17.3,18.2 (121),33.3 (108),-2.2 (126)
120. Arkansas St. (2-9),-17.4,21.9 (106),40.9 (127),1.7 (17)
121. New Mexico (3-8),-17.5,13.8 (129),30.6 (97),-0.7 (84)
122. Vanderbilt (2-9),-17.9,17.6 (122),34.6 (114),-1.0 (101)
123. FIU (1-10),-20.3,19.1 (118),38.3 (124),-1.1 (106)
