TEAM,RATING,OFFENSE,DEFENSE,SPECIAL TEAMS
1. Ohio St. (7-1),29.8,47.5 (1),18.3 (15),0.7 (1)
2. Georgia (8-0),29.1,38.8 (8),9.9 (1),0.2 (33)
3. Alabama (7-1),26.7,42.8 (3),16.4 (10),0.3 (22)
4. Clemson (5-3),21.1,32.2 (46),11.2 (4),0.1 (41)
5. Michigan (7-1),20.8,35.9 (18),15.7 (8),0.6 (3)
6. Wisconsin (5-3),20,29.6 (64),10.0 (2),0.4 (14)
7. Texas A&M (6-2),19.7,35.0 (24),15.6 (7),0.4 (17)
8. Oklahoma (9-0),18.8,43.3 (2),25.0 (53),0.5 (7)
9. Florida (4-4),18.1,39.1 (7),20.5 (24),-0.5 (127)
10. Cincinnati (8-0),17.8,34.2 (30),16.3 (9),-0.1 (82)
11. Penn St. (5-3),17.6,31.8 (49),14.3 (5),0.2 (35)
12. Pittsburgh (6-2),16.5,36.4 (14),20.1 (21),0.3 (27)
13. Notre Dame (7-1),16.2,35.7 (21),19.5 (18),0.0 (69)
14. Michigan St. (8-0),15.7,33.0 (42),17.2 (12),-0.1 (87)
15. Auburn (6-2),15.5,33.7 (34),18.5 (16),0.3 (19)
16. Iowa St. (5-3),15.4,35.9 (17),20.6 (25),0.1 (52)
17. Minnesota (6-2),15.3,34.7 (25),19.4 (17),0.1 (56)
18. Iowa (6-2),15.2,25.9 (84),11.2 (3),0.5 (4)
19. Baylor (7-1),14.8,32.7 (44),18.2 (14),0.2 (29)
20. Tennessee (4-4),14.1,35.1 (23),21.4 (29),0.4 (13)
21. Ole Miss (6-2),14.1,39.5 (5),25.7 (59),0.3 (26)
22. N. Carolina (4-4),13.8,41.0 (4),27.2 (72),0.0 (67)
23. Oregon (7-1),13.7,36.5 (13),23.4 (44),0.5 (6)
24. Nebraska (3-6),13.6,34.1 (31),20.0 (19),-0.5 (128)
25. Miami (4-4),13.4,36.3 (15),23.0 (42),0.1 (39)
26. NC St. (6-2),13.2,31.1 (51),18.0 (13),0.2 (37)
27. Texas (4-4),12.5,37.3 (11),25.3 (57),0.5 (8)
28. Wake Forest (8-0),12.2,37.8 (10),25.7 (61),0.2 (34)
29. Arizona St. (5-3),12.1,34.0 (32),21.6 (31),-0.2 (103)
