TEAM,RATING,OFFENSE,DEFENSE,SPECIAL TEAMS
30. Utah (5-3),11.9,34.4 (27),22.0 (34),-0.5 (126)
31. Oklahoma St. (7-1),11.9,28.7 (69),16.8 (11),-0.1 (80)
32. Miss. St. (5-3),11.6,31.9 (47),20.0 (20),-0.3 (114)
33. Arkansas (5-3),11.3,33.2 (38),21.9 (33),0.0 (74)
34. Coastal Caro. (7-1),11,38.4 (9),27.4 (74),0.0 (68)
35. Virginia (6-3),10.8,39.4 (6),28.5 (80),0.0 (66)
36. Liberty (7-2),10.6,33.9 (33),23.1 (43),-0.2 (97)
37. Florida St. (3-5),9.5,33.5 (35),24.2 (49),0.3 (23)
38. Kansas St. (5-3),9.4,33.2 (39),23.8 (48),0.1 (51)
39. Va. Tech (4-4),9.1,30.7 (57),21.6 (32),0.1 (53)
40. Maryland (5-3),8.9,34.2 (29),25.2 (56),-0.1 (84)
41. Louisville (4-4),8.9,35.9 (16),27.1 (71),0.1 (57)
42. San Diego St. (7-1),8.8,23.2 (101),14.8 (6),0.4 (15)
43. Marshall (5-3),8,30.4 (58),22.3 (37),-0.2 (92)
44. Fresno St. (7-2),7.9,34.3 (28),26.4 (65),0.0 (76)
45. Kentucky (6-2),7.8,30.0 (60),22.3 (38),0.1 (42)
46. Purdue (5-3),7.3,28.7 (70),21.0 (26),-0.5 (122)
47. SMU (7-1),7.1,35.9 (19),28.5 (79),-0.3 (109)
48. W. Virginia (4-4),7,30.8 (56),23.7 (47),0.0 (71)
49. Syracuse (5-4),6.9,29.6 (65),22.3 (39),-0.4 (115)
50. USC (4-4),6.8,35.9 (20),29.1 (86),0.0 (58)
51. Boise St. (4-4),6.6,29.8 (62),23.5 (46),0.3 (21)
52. App. St. (6-2),6.6,31.7 (50),25.5 (58),0.4 (11)
53. LSU (4-4),6.6,33.5 (36),27.2 (73),0.3 (18)
54. BYU (7-2),6.4,34.5 (26),27.8 (77),-0.4 (116)
55. UCLA (5-4),6.1,35.6 (22),29.5 (89),0.0 (63)
56. UCF (5-3),5.9,33.3 (37),27.4 (75),0.1 (54)
57. Louisiana (7-1),5.6,30.9 (54),25.2 (55),-0.1 (86)
58. Ga. Tech (3-5),5.6,30.9 (55),25.2 (54),-0.1 (91)
59. Washington (4-4),5.5,28.1 (75),22.5 (40),-0.1 (85)
60. TCU (3-5),5.4,33.0 (41),27.7 (76),0.1 (47)
61. Indiana (2-6),5.3,28.2 (74),22.8 (41),-0.1 (89)
62. Nevada (6-2),5.1,31.0 (52),26.0 (63),0.1 (48)
63. Houston (7-1),5,28.6 (71),23.5 (45),-0.1 (88)
64. Oregon St. (5-3),4.6,36.8 (12),32.4 (108),0.3 (24)
65. Texas Tech (5-4),4.6,33.1 (40),28.9 (85),0.4 (10)
66. UAB (5-3),4.5,25.1 (91),20.3 (22),-0.3 (110)
67. UTSA (8-0),4.4,30.3 (59),26.0 (62),0.1 (44)
68. Boston Coll. (4-4),4.3,31.0 (53),26.8 (68),0.1 (50)
69. Rutgers (4-4),3.4,24.7 (94),21.1 (27),-0.2 (94)
70. California (3-5),3.4,29.9 (61),26.7 (67),0.2 (38)
71. Air Force (6-2),3.4,25.8 (85),22.2 (35),-0.3 (111)
72. Wash. St. (5-4),3.2,32.8 (43),29.7 (90),0.0 (59)
73. Missouri (4-4),2.6,32.2 (45),30.3 (96),0.6 (2)
74. WKU (4-4),2.5,31.8 (48),29.7 (91),0.4 (16)
75. Memphis (4-4),2,29.0 (68),27.0 (70),0.0 (75)
76. Toledo (4-4),1.5,23.9 (99),22.2 (36),-0.2 (96)
77. Wyoming (4-4),1.2,22.1 (105),20.4 (23),-0.4 (120)
78. Colorado St. (3-5),0.8,22.2 (104),21.6 (30),0.1 (43)
79. San Jose St. (5-4),0.7,25.4 (88),25.0 (51),0.2 (28)
80. S. Carolina (4-4),0.1,24.6 (95),25.0 (50),0.5 (9)
81. Army (4-3),0,26.9 (77),26.9 (69),0.0 (70)
82. Illinois (3-6),-0.4,24.2 (98),25.0 (52),0.4 (12)
83. FAU (5-3),-0.5,25.4 (89),25.7 (60),-0.2 (93)
84. Northwestern (3-5),-0.6,21.1 (111),21.2 (28),-0.5 (125)
85. Tulsa (3-5),-0.9,25.6 (87),26.6 (66),0.1 (45)
86. WMU (5-3),-1.5,29.5 (66),30.3 (95),-0.8 (130)
87. Stanford (3-5),-2.1,27.8 (76),30.1 (93),0.2 (30)
88. Hawaii (4-5),-3.2,28.3 (73),31.8 (100),0.2 (31)
89. Miami-OH (4-4),-3.6,25.1 (92),28.5 (81),-0.1 (90)
90. ECU (4-4),-3.9,25.7 (86),29.8 (92),0.1 (46)
91. Duke (3-5),-4.1,26.2 (80),30.1 (94),-0.3 (107)
92. Troy (4-4),-4.3,21.9 (107),26.2 (64),0.1 (49)
93. Tulane (1-7),-5,29.7 (63),34.3 (116),-0.3 (112)
94. Georgia St. (4-4),-6,25.9 (82),31.9 (102),-0.1 (79)
95. CMU (4-4),-6.3,25.9 (81),32.2 (105),0.0 (72)
96. MTSU (4-4),-6.5,24.4 (97),30.6 (98),-0.3 (105)
97. Buffalo (4-5),-6.5,26.2 (79),32.4 (106),-0.3 (113)
98. Utah St. (6-2),-7.4,25.3 (90),32.9 (110),0.2 (32)
99. Colorado (2-6),-7.5,20.6 (115),28.1 (78),0.0 (61)
100. EMU (5-3),-7.6,29.4 (67),37.2 (123),0.3 (25)
101. Ball St. (4-4),-7.6,24.4 (96),32.0 (103),-0.1 (78)
102. S. Alabama (5-3),-8,21.0 (112),28.9 (83),-0.2 (98)
103. Kent St. (4-4),-8.4,28.4 (72),36.4 (120),-0.4 (119)
104. NIU (6-2),-8.8,23.7 (100),32.6 (109),0.0 (65)
105. La. Tech (2-6),-9.1,22.9 (102),31.8 (101),-0.2 (100)
106. UTEP (6-2),-9.4,21.1 (110),30.5 (97),0.0 (60)
107. Ohio (1-7),-10.1,25.9 (83),35.5 (118),-0.5 (123)
108. N. Texas (2-6),-10.9,22.8 (103),33.5 (113),-0.2 (102)
109. USF (2-6),-11.2,21.8 (108),33.2 (111),0.2 (36)
110. Temple (3-5),-11.5,20.7 (114),32.1 (104),0.0 (73)
111. Navy (2-6),-11.5,17.5 (123),28.9 (82),-0.2 (99)
112. Arizona (0-8),-12.2,21.7 (109),33.9 (114),0.0 (62)
113. New Mexico (3-5),-12.7,16.9 (126),29.5 (88),-0.1 (77)
114. Vanderbilt (2-7),-13,19.7 (119),32.4 (107),-0.4 (118)
115. Charlotte (4-4),-13.3,26.6 (78),39.9 (127),0.0 (64)
116. BGSU (3-6),-13.5,17.4 (124),31.0 (99),0.1 (40)
117. Ga. Southern (2-6),-13.6,19.9 (118),34.0 (115),0.5 (5)
118. So. Miss (1-7),-13.9,15.2 (129),28.9 (84),-0.2 (95)
119. ODU (2-6),-13.9,15.5 (127),29.4 (87),0.1 (55)
120. FIU (1-7),-14.3,20.9 (113),34.9 (117),-0.3 (106)
121. UNLV (0-8),-15.4,20.6 (116),35.8 (119),-0.1 (83)
122. Arkansas St. (1-7),-16.7,24.8 (93),41.8 (128),0.3 (20)
123. Kansas (1-7),-16.8,20.6 (117),37.1 (122),-0.3 (108)
124. Texas St. (2-6),-17,22.0 (106),38.9 (125),-0.1 (81)
125. Rice (3-5),-18.6,15.4 (128),33.3 (112),-0.6 (129)
126. ULM (4-4),-18.7,18.6 (121),37.1 (121),-0.3 (104)
127. Akron (2-6),-21,18.5 (122),39.1 (126),-0.5 (124)
128. NMSU (1-7),-23.9,19.2 (120),42.7 (129),-0.4 (117)
129. UConn (1-8),-24.4,14.0 (130),38.1 (124),-0.2 (101)
130. UMass (1-7),-27.5,17.0 (125),44.1 (130),-0.4 (121)
