TEAM,RATING,OFFENSE,DEFENSE,SPECIAL TEAMS
1. Alabama (2-0),30.2,43.2 (3),13.1 (4),0.1 (38)
2. Georgia (2-0),28.6,38.8 (9),10.2 (1),-0.1 (93)
3. Oklahoma (2-0),27.9,46.0 (1),18.3 (14),0.2 (8)
4. Clemson (1-1),24.1,38.2 (11),14.0 (6),0.0 (61)
5. Ohio St. (1-1),22.5,45.2 (2),22.7 (39),0.1 (31)
6. Michigan (2-0),22.4,37.5 (13),15.3 (9),0.2 (5)
7. Penn St. (2-0),22.4,36.3 (16),13.9 (5),0.0 (59)
8. Wisconsin (1-1),20.5,33.2 (40),12.7 (3),0.0 (66)
9. Florida (2-0),20.2,40.7 (7),20.4 (23),-0.1 (106)
10. Cincinnati (2-0),20.1,35.6 (23),15.3 (8),-0.2 (123)
11. Auburn (2-0),19.9,35.8 (20),16.0 (10),0.1 (26)
12. N. Carolina (1-1),19.6,42.7 (4),23.0 (42),0.0 (71)
13. Texas A&M (2-0),19.4,34.2 (33),14.9 (7),0.1 (42)
14. Ole Miss (2-0),18.5,41.9 (5),23.4 (43),0.0 (68)
15. Iowa (2-0),18.3,29.4 (64),11.3 (2),0.2 (12)
16. Oregon (2-0),17.3,37.8 (12),20.6 (25),0.1 (28)
17. UCLA (2-0),17.1,41.2 (6),24.3 (53),0.2 (9)
18. Iowa St. (1-1),15.9,36.1 (18),20.0 (20),-0.2 (118)
19. Utah (1-1),15,33.5 (37),18.5 (15),-0.1 (92)
20. Arizona St. (2-0),14.8,34.0 (35),19.4 (16),0.2 (11)
21. Miami (1-1),13.6,34.6 (30),21.0 (28),0.0 (50)
22. Va. Tech (2-0),13.5,36.2 (17),22.7 (38),0.1 (46)
23. Notre Dame (2-0),13.2,34.4 (32),21.2 (33),0.1 (25)
24. USC (1-1),13,37.1 (14),24.1 (50),0.0 (60)
25. UCF (2-0),13,39.8 (8),26.8 (70),0.0 (84)
26. Maryland (2-0),12.6,33.4 (39),20.8 (27),0.0 (51)
27. Washington (0-2),12.2,33.8 (36),21.4 (34),-0.2 (119)
28. Coastal Caro. (2-0),11.5,38.4 (10),26.8 (71),-0.1 (105)
29. TCU (2-0),11.5,31.7 (47),20.1 (22),-0.1 (111)
30. Texas (1-1),11.1,36.0 (19),24.8 (55),-0.1 (89)
31. Nebraska (2-1),10.8,32.1 (43),21.0 (30),-0.3 (126)
32. Virginia (2-0),10.6,34.5 (31),23.8 (47),-0.1 (104)
33. Michigan St. (2-0),10.4,28.4 (72),17.9 (12),-0.1 (103)
34. Arkansas (2-0),10.4,31.4 (50),21.0 (29),0.0 (53)
35. BYU (2-0),10.1,35.1 (28),25.0 (57),0.0 (58)
36. Pittsburgh (2-0),10,29.7 (60),19.8 (18),0.0 (55)
37. LSU (1-1),9.5,33.5 (38),24.1 (51),0.1 (21)
38. Oklahoma St. (2-0),9.4,29.0 (67),19.7 (17),0.2 (14)
39. Boise St. (1-1),9.1,33.2 (41),24.3 (52),0.1 (17)
40. SMU (2-0),9,34.6 (29),25.4 (59),-0.2 (116)
41. App. St. (1-1),9,30.5 (54),21.5 (36),0.0 (52)
42. Purdue (2-0),8.1,35.6 (22),27.5 (76),0.0 (67)
43. W. Virginia (1-1),8,29.4 (63),21.4 (35),0.0 (75)
44. Tulane (1-1),7.9,35.3 (26),27.4 (75),-0.1 (107)
45. Tennessee (1-1),7.5,28.5 (71),21.2 (32),0.2 (3)
46. Indiana (1-1),7.5,29.9 (58),22.5 (37),0.0 (64)
47. NC St. (1-1),7.2,28.4 (73),21.1 (31),-0.1 (102)
48. Baylor (2-0),7.1,25.0 (95),18.0 (13),0.1 (44)
49. Minnesota (1-1),7.1,35.7 (21),28.8 (85),0.2 (13)
50. Miss. St. (2-0),6.8,27.7 (76),20.8 (26),-0.1 (99)
51. Kentucky (2-0),6.8,29.7 (61),22.9 (40),0.0 (78)
52. Kansas St. (2-0),6.8,31.9 (44),25.0 (56),-0.1 (87)
53. Liberty (2-0),6.4,34.1 (34),27.6 (77),-0.1 (88)
54. Marshall (2-0),6.2,26.1 (82),19.9 (19),0.0 (82)
55. Memphis (2-0),6,29.9 (59),24.0 (48),0.1 (29)
56. Texas Tech (2-0),4.7,30.9 (53),26.4 (65),0.1 (15)
57. Troy (1-1),4.4,28.5 (70),24.0 (49),-0.1 (113)
58. Louisville (1-1),4.3,35.4 (24),31.1 (94),0.0 (77)
59. California (0-2),4.2,31.4 (48),27.1 (72),-0.1 (109)
60. Boston Coll. (2-0),4.2,35.2 (27),31.2 (95),0.1 (18)
61. Wash. St. (1-1),4.2,36.7 (15),32.7 (103),0.1 (33)
62. Louisiana (1-1),3.9,30.4 (55),26.6 (68),0.1 (22)
63. Nevada (2-0),3.7,30.1 (57),26.3 (62),-0.1 (96)
64. Florida St. (0-2),3.5,31.7 (46),28.3 (81),0.1 (27)
65. Missouri (1-1),3.2,29.3 (65),26.3 (61),0.2 (4)
66. Ga. Tech (1-1),2.9,27.4 (77),24.5 (54),0.0 (85)
67. Colorado (1-1),2.4,26.0 (83),23.5 (46),-0.1 (101)
68. Wake Forest (2-0),2.3,28.8 (69),26.6 (67),0.1 (41)
69. FAU (1-1),2.1,25.6 (87),23.5 (44),0.0 (70)
70. Toledo (1-1),2,28.2 (74),26.3 (63),0.1 (43)
71. UTSA (2-0),1.8,29.5 (62),27.9 (78),0.2 (7)
72. Rutgers (2-0),1.7,25.2 (92),23.5 (45),0.0 (79)
73. Stanford (1-1),1.6,31.2 (52),29.4 (87),-0.2 (120)
74. Houston (1-1),1.6,28.9 (68),27.3 (73),0.0 (83)
75. Fresno St. (2-1),1.6,32.5 (42),30.6 (91),-0.4 (129)
76. Oregon St. (1-1),1.1,35.4 (25),34.3 (107),0.0 (49)
77. WMU (1-1),1.1,31.8 (45),30.5 (90),-0.3 (125)
78. San Diego St. (2-0),1.1,18.8 (117),17.8 (11),0.0 (57)
79. UAB (1-1),0.8,21.5 (105),20.6 (24),-0.2 (115)
80. Tulsa (0-2),0,23.0 (99),23.0 (41),-0.1 (90)
81. S. Carolina (2-0),-0.8,25.5 (88),26.5 (66),0.1 (36)
82. Army (2-0),-1.2,25.1 (94),26.4 (64),0.1 (19)
83. San Jose St. (1-1),-1.5,26.8 (79),28.4 (82),0.0 (56)
84. CMU (1-1),-2.1,26.3 (80),28.5 (83),0.1 (35)
85. Illinois (1-2),-2.6,27.2 (78),30.1 (88),0.3 (2)
86. Buffalo (1-1),-2.9,25.1 (93),28.0 (79),-0.1 (94)
87. Northwestern (1-1),-3.3,16.8 (121),20.0 (21),-0.1 (100)
88. Wyoming (2-0),-4.1,21.0 (106),25.2 (58),0.1 (45)
89. Syracuse (1-1),-4.5,21.7 (104),26.1 (60),-0.1 (98)
90. WKU (1-1),-4.5,22.1 (102),26.6 (69),0.0 (69)
91. Arkansas St. (1-1),-4.6,31.2 (51),35.9 (116),0.1 (32)
92. Duke (1-1),-4.8,23.3 (97),28.2 (80),0.1 (16)
93. Air Force (2-0),-5.4,22.0 (103),27.3 (74),-0.1 (108)
94. Kent St. (1-1),-5.9,31.4 (49),37.1 (118),-0.2 (121)
95. ECU (0-2),-7,25.5 (90),32.5 (101),0.0 (72)
96. Ohio (0-2),-8.7,26.2 (81),34.8 (109),-0.2 (117)
97. MTSU (1-1),-8.8,23.0 (98),31.9 (98),0.0 (80)
98. Colorado St. (0-2),-9.4,19.8 (110),29.0 (86),-0.1 (110)
99. Ball St. (1-1),-9.6,25.5 (91),35.2 (112),0.1 (37)
100. Georgia St. (0-2),-9.6,27.8 (75),37.5 (120),0.0 (48)
101. So. Miss (1-1),-9.9,18.9 (116),28.8 (84),0.0 (74)
102. N. Texas (1-1),-10,25.9 (84),35.9 (115),-0.1 (97)
103. Miami-OH (0-2),-10,22.6 (100),32.7 (104),0.0 (65)
104. Arizona (0-2),-10.1,25.7 (86),35.8 (114),-0.1 (91)
105. EMU (1-1),-10.2,30.2 (56),40.5 (124),0.0 (54)
106. Utah St. (2-0),-10.4,24.0 (96),34.5 (108),0.1 (24)
107. Hawaii (1-2),-10.7,25.5 (89),36.6 (117),0.4 (1)
108. NIU (1-1),-10.9,20.7 (108),31.7 (97),0.1 (30)
109. Charlotte (2-0),-10.9,29.0 (66),39.9 (123),0.0 (86)
110. Texas St. (1-1),-11.5,25.9 (85),37.3 (119),-0.1 (95)
111. FIU (1-1),-11.6,18.6 (118),30.4 (89),0.2 (6)
112. S. Alabama (2-0),-11.8,19.0 (113),30.9 (93),0.1 (40)
113. Ga. Southern (1-1),-13,19.0 (114),32.1 (99),0.1 (23)
114. Temple (1-1),-13.5,19.0 (115),32.4 (100),-0.1 (114)
115. La. Tech (1-1),-13.6,22.2 (101),35.7 (113),-0.1 (112)
116. USF (0-2),-15.4,17.2 (120),32.6 (102),0.0 (47)
117. Vanderbilt (1-1),-15.7,17.6 (119),33.5 (105),0.1 (20)
118. Kansas (1-1),-15.8,19.1 (112),35.0 (110),0.1 (34)
119. New Mexico (2-0),-16.7,20.9 (107),37.6 (121),0.0 (62)
120. Navy (0-2),-17.6,14.2 (124),31.6 (96),-0.2 (122)
121. UNLV (0-2),-18.2,20.0 (109),38.2 (122),0.0 (73)
122. Rice (0-2),-19.1,11.8 (128),30.6 (92),-0.2 (124)
123. UTEP (2-1),-22.7,19.7 (111),42.5 (126),0.2 (10)
124. BGSU (0-2),-23.2,10.8 (130),34.0 (106),0.1 (39)
125. ODU (1-1),-23.3,11.8 (127),35.1 (111),0.0 (81)
126. Akron (0-2),-26.6,13.9 (125),40.5 (125),0.0 (63)
127. ULM (0-1),-26.7,16.1 (123),42.8 (127),0.0 (76)
128. UMass (0-2),-29.8,16.8 (122),46.3 (130),-0.3 (127)
129. UConn (0-3),-32,12.8 (126),44.4 (128),-0.4 (130)
130. NMSU (0-3),-34.4,10.8 (129),44.9 (129),-0.3 (128)
