TEAM,RATING,OFFENSE,DEFENSE,SPECIAL TEAMS
1. Georgia (6-0),29,37.7 (11),8.8 (1),0.2 (34)
2. Ohio St. (5-1),28.6,47.7 (1),19.7 (22),0.6 (2)
3. Alabama (5-1),25,40.6 (5),15.8 (7),0.2 (24)
4. Florida (4-2),24,40.7 (4),16.7 (12),0.0 (61)
5. Clemson (3-2),23.6,34.2 (32),10.7 (3),0.2 (26)
6. Penn St. (5-1),20.5,33.6 (38),13.2 (6),0.2 (35)
7. Wisconsin (2-3),20.3,30.2 (57),10.2 (2),0.3 (21)
8. Michigan (6-0),19.3,35.2 (26),16.4 (10),0.5 (3)
9. Oklahoma (6-0),18.6,41.5 (3),23.3 (45),0.4 (8)
10. Pittsburgh (4-1),18,38.2 (9),20.6 (27),0.3 (15)
11. Iowa St. (3-2),17.9,34.4 (29),16.5 (11),0.0 (67)
12. Arizona St. (5-1),17.4,35.7 (23),18.3 (16),0.0 (59)
13. Cincinnati (5-0),17.2,33.7 (37),16.2 (9),-0.2 (111)
14. Tennessee (4-2),16.4,36.0 (21),19.9 (23),0.3 (19)
15. Michigan St. (6-0),16,34.6 (28),18.5 (18),-0.1 (79)
16. Iowa (6-0),15.9,26.8 (81),11.4 (4),0.5 (4)
17. Notre Dame (5-1),15.6,32.7 (43),17.1 (13),0.1 (54)
18. Texas A&M (4-2),15.3,32.0 (47),17.2 (14),0.4 (7)
19. Ole Miss (4-1),15,41.8 (2),27.0 (67),0.2 (33)
20. Liberty (5-1),15,36.4 (16),21.3 (30),-0.1 (83)
21. N. Carolina (3-3),14.6,40.3 (6),25.7 (57),-0.1 (80)
22. Coastal Caro. (6-0),13.8,39.8 (7),25.8 (59),-0.2 (110)
23. Baylor (5-1),13.7,30.7 (53),17.2 (15),0.2 (27)
24. Nebraska (3-4),13.3,34.2 (30),20.5 (26),-0.4 (122)
25. Utah (3-2),13.2,31.9 (48),18.4 (17),-0.4 (121)
26. Miami (2-3),13.2,35.3 (25),22.1 (39),0.0 (60)
27. Miss. St. (3-2),12.7,32.1 (46),19.0 (21),-0.4 (124)
28. Arkansas (4-2),12.6,33.5 (39),20.8 (29),-0.1 (81)
29. Auburn (4-2),12.5,30.8 (51),18.6 (19),0.3 (17)
30. Kentucky (6-0),12.4,32.9 (41),20.7 (28),0.2 (32)
31. Texas (4-2),12.1,38.8 (8),27.1 (70),0.3 (13)
32. Maryland (4-2),11.8,35.4 (24),23.5 (48),-0.1 (84)
33. Oklahoma St. (5-0),11.4,27.5 (78),16.0 (8),-0.1 (92)
34. TCU (3-2),10.8,36.5 (14),25.6 (56),-0.1 (74)
35. Boston Coll. (4-1),10.8,36.1 (18),25.8 (60),0.4 (6)
36. UCLA (4-2),10.6,37.9 (10),27.5 (74),0.3 (20)
