TEAM,RATING,OFFENSE,DEFENSE,SPECIAL TEAMS
37. NC St. (4-1),10.6,29.6 (62),18.8 (20),-0.1 (93)
38. Minnesota (3-2),10.6,32.5 (44),22.0 (36),0.1 (48)
39. Oregon (4-1),10.3,33.4 (40),23.5 (49),0.5 (5)
40. Fresno St. (4-2),10.2,36.1 (17),25.9 (61),-0.1 (72)
41. App. St. (4-1),9.2,32.7 (42),23.8 (50),0.2 (23)
42. San Diego St. (4-0),9.1,21.9 (111),12.9 (5),0.2 (31)
43. BYU (5-1),9,34.2 (31),25.0 (54),-0.2 (99)
44. SMU (6-0),8.7,36.0 (20),27.0 (68),-0.3 (118)
45. Virginia (4-2),8.1,36.5 (15),28.2 (82),-0.2 (109)
46. Kansas St. (3-2),7.8,31.5 (49),23.9 (51),0.1 (43)
47. Purdue (3-2),7.8,29.4 (63),21.6 (32),0.0 (68)
48. Wake Forest (6-0),7.8,35.2 (27),27.6 (75),0.2 (28)
49. Va. Tech (3-2),7.7,31.0 (50),23.3 (46),0.0 (56)
50. USC (3-3),7.5,36.1 (19),28.7 (83),0.1 (39)
51. Marshall (3-3),7.4,29.2 (66),21.7 (33),-0.1 (88)
52. Syracuse (3-3),6.9,29.9 (59),22.8 (41),-0.2 (100)
53. UCF (3-2),6.8,35.9 (22),29.4 (88),0.3 (18)
54. Washington (2-3),6.8,29.2 (68),22.2 (40),-0.2 (114)
55. Florida St. (2-4),6.7,33.7 (36),27.2 (71),0.1 (42)
56. Air Force (5-1),6.6,28.9 (70),22.1 (38),-0.2 (107)
57. Ga. Tech (3-3),6.5,30.0 (58),23.3 (47),-0.2 (102)
58. LSU (3-3),6.4,33.9 (34),27.8 (78),0.4 (10)
59. Indiana (2-3),6,27.6 (77),21.5 (31),-0.1 (78)
60. Louisville (3-3),5.8,36.9 (13),31.2 (98),0.1 (47)
61. Boise St. (3-3),5.8,30.7 (52),25.2 (55),0.2 (25)
62. W. Virginia (2-4),5.7,29.7 (61),24.0 (52),0.0 (69)
63. Houston (5-1),5.5,27.8 (75),22.0 (35),-0.3 (115)
64. Texas Tech (4-2),5.4,34.1 (33),29.0 (86),0.4 (11)
65. Oregon St. (4-2),5.3,37.1 (12),32.0 (105),0.2 (30)
66. Missouri (3-3),4.1,33.9 (35),30.4 (93),0.6 (1)
67. Rutgers (3-3),3.5,25.5 (89),21.9 (34),-0.1 (76)
68. Nevada (4-1),3.5,30.5 (56),27.0 (69),0.0 (57)
69. UAB (4-2),3.3,23.7 (99),20.3 (24),-0.2 (105)
70. Toledo (3-3),2.7,23.4 (101),20.5 (25),-0.2 (98)
71. Wyoming (4-1),2.4,24.8 (94),22.1 (37),-0.4 (119)
72. S. Carolina (3-3),1.9,24.5 (96),22.9 (43),0.3 (16)
73. Tulsa (2-4),1.2,27.5 (79),26.3 (64),0.0 (65)
74. Louisiana (4-1),0.9,29.2 (67),28.1 (81),-0.1 (95)
75. California (1-4),0.8,28.7 (71),27.8 (77),-0.1 (82)
76. Army (4-1),0.7,26.3 (84),25.9 (62),0.4 (9)
77. UTSA (6-0),0.5,28.5 (72),28.1 (80),0.1 (41)
78. Duke (3-3),0.3,29.4 (64),28.9 (84),-0.2 (101)
79. Memphis (3-3),0.2,29.9 (60),29.7 (90),0.0 (64)
80. Wash. St. (3-3),0.1,30.5 (55),30.6 (94),0.1 (38)
81. WKU (1-4),-0.1,32.2 (45),32.4 (107),0.2 (29)
82. Northwestern (2-3),-0.8,22.3 (108),22.9 (42),-0.2 (106)
83. WMU (4-2),-1.3,29.3 (65),29.9 (91),-0.7 (130)
84. FAU (3-3),-1.4,25.5 (90),26.8 (65),-0.1 (94)
85. Troy (3-3),-1.9,21.1 (114),23.0 (44),-0.1 (71)
86. Miami-OH (2-4),-2.1,25.1 (92),27.3 (73),0.1 (44)
87. San Jose St. (3-3),-2.4,25.3 (91),27.8 (76),0.0 (55)
88. Colorado St. (2-3),-2.8,21.1 (113),24.0 (53),0.1 (51)
89. Stanford (3-3),-3.2,27.4 (80),30.6 (95),0.0 (66)
90. Hawaii (3-3),-3.3,27.6 (76),31.1 (97),0.1 (40)
91. Kent St. (3-3),-4.9,28.0 (74),32.5 (109),-0.4 (123)
92. ECU (3-3),-5.3,26.2 (86),31.6 (101),0.2 (36)
93. CMU (3-3),-5.3,26.6 (82),31.7 (102),-0.2 (113)
94. Tulane (1-5),-5.4,30.6 (54),35.6 (120),-0.3 (116)
95. Illinois (2-5),-5.8,23.1 (102),29.2 (87),0.3 (14)
96. Georgia St. (2-4),-6.1,26.1 (87),32.1 (106),-0.1 (87)
97. NIU (4-2),-7.3,24.3 (98),31.5 (99),-0.1 (89)
98. Buffalo (2-4),-7.4,24.4 (97),31.5 (100),-0.3 (117)
99. EMU (4-2),-7.7,28.2 (73),35.9 (121),0.0 (62)
100. Utah St. (3-2),-8.2,26.2 (85),34.5 (115),0.1 (50)
101. La. Tech (2-3),-8.4,26.4 (83),34.7 (117),-0.1 (86)
102. Navy (1-4),-8.5,18.6 (121),26.9 (66),-0.2 (104)
103. UTEP (5-1),-8.5,22.2 (109),30.7 (96),0.0 (63)
104. Ball St. (3-3),-8.8,22.9 (103),31.8 (103),0.0 (58)
105. Temple (3-3),-9.3,20.6 (115),30.0 (92),0.1 (46)
106. Colorado (1-4),-9.6,20.2 (117),29.6 (89),-0.1 (90)
107. So. Miss (1-5),-9.7,16.1 (125),25.7 (58),-0.1 (77)
108. Ohio (1-5),-9.8,25.0 (93),34.3 (114),-0.5 (125)
109. Arizona (0-5),-9.8,22.8 (105),32.5 (108),-0.1 (91)
110. S. Alabama (3-1),-9.9,18.0 (123),28.0 (79),0.1 (52)
111. FIU (1-5),-10.6,23.5 (100),34.0 (112),-0.1 (85)
112. Charlotte (4-2),-11.1,28.9 (69),39.9 (126),-0.1 (73)
113. N. Texas (1-4),-11.2,22.5 (106),33.6 (110),-0.2 (108)
114. MTSU (2-4),-11.5,22.8 (104),34.5 (116),0.1 (45)
115. ODU (1-5),-11.6,15.9 (126),27.3 (72),-0.2 (97)
116. New Mexico (2-4),-11.7,17.2 (124),28.9 (85),0.1 (49)
117. BGSU (2-4),-12,13.9 (130),26.1 (63),0.2 (22)
118. USF (1-4),-12.3,21.4 (112),33.8 (111),0.1 (53)
119. UNLV (0-5),-13.1,22.5 (107),35.6 (119),-0.1 (70)
120. Ga. Southern (2-4),-14.6,20.3 (116),35.3 (118),0.4 (12)
121. Kansas (1-4),-14.7,21.9 (110),36.4 (122),-0.1 (96)
122. Vanderbilt (2-4),-16.6,18.1 (122),34.1 (113),-0.5 (127)
123. Texas St. (1-3),-16.8,24.6 (95),41.3 (127),-0.1 (75)
124. Rice (2-3),-16.9,15.5 (128),31.8 (104),-0.6 (129)
125. Arkansas St. (1-5),-17.5,25.8 (88),43.5 (130),0.2 (37)
126. Akron (2-4),-18.3,20.1 (118),38.0 (123),-0.5 (126)
127. NMSU (1-6),-22,20.1 (119),41.7 (128),-0.4 (120)
128. UMass (1-5),-23.3,20.0 (120),42.7 (129),-0.6 (128)
129. UConn (0-7),-24,15.6 (127),39.4 (125),-0.2 (103)
130. ULM (2-3),-24.4,14.7 (129),38.9 (124),-0.2 (112)
