TEAM,RATING,OFFENSE,DEFENSE,SPECIAL TEAMS
84. California (1-5),-1.1,28.1 (71),29.2 (85),0.0 (69)
85. Duke (3-4),-1.8,27.5 (78),29.2 (87),-0.2 (100)
86. Miami-OH (3-4),-2.3,26.2 (82),28.5 (83),0.0 (60)
87. FAU (3-3),-2.4,24.7 (94),26.9 (68),-0.2 (89)
88. Hawaii (3-4),-2.5,27.5 (77),30.2 (92),0.2 (38)
89. Troy (4-3),-3.5,21.1 (109),24.6 (54),0.0 (64)
90. Tulane (1-5),-3.8,31.1 (52),34.6 (114),-0.3 (115)
91. Stanford (3-4),-4.3,27.6 (76),32.0 (103),0.2 (42)
92. Illinois (2-5),-4.7,23.7 (100),28.8 (84),0.4 (11)
93. ECU (3-3),-5,26.4 (81),31.6 (100),0.2 (33)
94. CMU (4-3),-5.2,25.5 (89),30.5 (93),-0.1 (87)
95. Colorado (2-4),-6.8,20.5 (115),27.4 (76),0.0 (56)
96. Georgia St. (2-4),-7,26.1 (84),33.0 (109),-0.1 (79)
97. Buffalo (3-4),-7.1,25.0 (92),31.7 (102),-0.3 (117)
98. NIU (5-2),-7.6,23.9 (98),31.5 (99),0.0 (65)
99. S. Alabama (4-2),-7.7,19.6 (119),27.2 (72),-0.1 (86)
100. Ball St. (4-3),-7.7,24.6 (95),32.2 (104),-0.1 (81)
101. Kent St. (3-4),-7.8,27.9 (74),35.2 (118),-0.5 (122)
102. EMU (4-3),-8,29.2 (64),37.2 (122),0.0 (54)
103. Temple (3-3),-8.6,21.0 (111),29.8 (90),0.2 (31)
104. Utah St. (4-2),-8.9,25.1 (90),33.9 (113),-0.1 (71)
105. Ohio (1-6),-9.6,25.9 (85),35.0 (117),-0.5 (125)
106. UTEP (6-1),-9.9,20.6 (114),30.6 (94),0.1 (53)
107. La. Tech (2-4),-10.4,23.5 (101),33.7 (110),-0.2 (99)
108. FIU (1-5),-11.5,22.4 (103),33.8 (111),-0.1 (84)
109. MTSU (2-4),-12.1,22.4 (104),34.7 (115),0.2 (37)
110. Navy (1-5),-12.3,17.5 (123),29.5 (88),-0.3 (107)
111. BGSU (2-5),-12.5,14.9 (129),27.7 (78),0.3 (25)
112. Arizona (0-6),-12.6,20.4 (116),32.8 (107),-0.2 (101)
113. N. Texas (1-5),-12.8,22.3 (106),34.9 (116),-0.2 (93)
114. Charlotte (4-2),-12.9,27.9 (73),40.7 (127),-0.1 (74)
115. So. Miss (1-6),-13,15.1 (127),27.9 (80),-0.2 (96)
116. USF (1-5),-13.1,20.6 (113),33.9 (112),0.2 (40)
117. Texas St. (2-4),-13.2,25.6 (87),38.6 (125),-0.2 (92)
118. New Mexico (2-5),-13.6,16.3 (124),30.0 (91),0.1 (48)
119. ODU (1-6),-14,15.3 (126),29.2 (86),-0.1 (72)
120. Vanderbilt (2-5),-14,19.4 (120),32.9 (108),-0.5 (124)
121. UNLV (0-6),-14.1,22.4 (105),36.3 (120),-0.1 (73)
122. Ga. Southern (2-5),-16.4,19.1 (121),35.9 (119),0.5 (8)
123. Kansas (1-5),-16.6,20.8 (112),37.1 (121),-0.3 (113)
124. Arkansas St. (1-5),-16.6,25.9 (86),42.8 (129),0.2 (32)
125. Akron (2-5),-18.9,21.0 (110),39.3 (126),-0.6 (127)
126. Rice (2-4),-19.5,14.0 (130),32.8 (106),-0.7 (128)
127. ULM (3-3),-21.9,16.1 (125),37.8 (123),-0.3 (111)
128. UConn (1-7),-23.8,14.9 (128),38.4 (124),-0.3 (110)
129. UMass (1-5),-23.9,19.7 (118),42.9 (130),-0.7 (129)
130. NMSU (1-6),-24.1,18.9 (122),42.6 (128),-0.5 (120)
